WORD,FREQUENCY,RANK,PROBABILITY,Constant
23,1283,226,0.000583392900340305,0.13184679547690892
still,1279,227,0.0005815740604327747,0.13201731171823985
If,1271,228,0.0005779363806177145,0.1317694947808389
saith,1267,229,0.0005761175407101842,0.1319309168226322
Now,1267,230,0.0005761175407101842,0.13250703436334238
same,1265,231,0.0005752081207564191,0.13287307589473282
face,1264,232,0.0005747534107795366,0.1333427913008525
its,1261,233,0.000573389280848889,0.13359970243779112
days,1258,234,0.0005720251509182413,0.13385388531486847
found,1252,235,0.0005692968910569461,0.13378476939838232
voice,1247,236,0.0005670233411725333,0.13381750851671786
took,1237,237,0.0005624762414037079,0.13330686921267879
brought,1225,238,0.0005570197216811174,0.13257069376010594
world,1223,239,0.0005561103017273523,0.1329103621128372
just,1206,240,0.000548380232120349,0.13161125570888377
another,1195,241,0.000543378422374641,0.13095419979228848
24,1189,242,0.0005406501625133457,0.13083733932822966
This,1186,243,0.0005392860325826981,0.13104650591759565
As,1185,244,0.0005388313226058156,0.131474842715819
sons,1185,245,0.0005388313226058156,0.13201367403842482
three,1180,246,0.0005365577727214028,0.1319932120894651
hast,1176,247,0.0005347389328138727,0.13208051640502655
forth,1173,248,0.000533374802883225,0.13227695111503981
night,1165,249,0.0005297371230681647,0.131904543643973
side,1163,250,0.0005288277031143995,0.13220692577859988
therefore,1146,251,0.0005210976335073963,0.13079550601035647
set,1145,252,0.0005206429235305138,0.13120201672968948
There,1145,253,0.0005206429235305138,0.13172265965321997
round,1138,254,0.000517459953692336,0.13143482823785335
young,1135,255,0.0005160958237616884,0.13160443505923053
Miss,1130,256,0.0005138222738772756,0.13153850211258256
called,1128,257,0.0005129128539235105,0.1318186034583422
mother,1124,258,0.0005110940140159803,0.13186225561612294
David,1109,259,0.0005042733643627422,0.13060680136995023
hear,1109,260,0.0005042733643627422,0.13111107473431297
cried,1106,261,0.0005029092344320946,0.13125931018677667
back,1095,262,0.0004979074246863866,0.13045174526783326
seemed,1083,263,0.000492450904963796,0.12951458800547835
25,1078,264,0.0004901773550793833,0.1294068217409572
Of,1075,265,0.0004888132251487356,0.12953550466441494
pass,1072,266,0.000487449095218088,0.1296614593280114
right,1070,267,0.0004865396752643229,0.1299060932955742
under,1070,268,0.0004865396752643229,0.13039263297083853
love,1063,269,0.0004833567054261451,0.13002295375963305
tell,1059,270,0.00048153786551861493,0.13001522369002602
while,1046,271,0.00047562663581914185,0.12889481830698743
26,1045,272,0.0004751719258422593,0.12924676382909453
words,1045,273,0.0004751719258422593,0.1297219357549368
When,1041,274,0.0004733530859347291,0.12969874554611577
look,1037,275,0.00047153424602719895,0.1296719176574797
quite,1033,276,0.00046971540611966876,0.12964145208902858
soon,1027,277,0.0004669871462583735,0.12935543951356945
thine,1016,278,0.0004619853365126655,0.128431923550521
city,1014,279,0.0004610759165589004,0.12864018071993322
years,1011,280,0.0004597117866282528,0.12871930025591077
left,1011,281,0.0004597117866282528,0.12917901204253904
hands,994,282,0.0004519817170212495,0.12745884419999237
both,989,283,0.00044970816713683676,0.1272674112997248
always,987,284,0.0004487987471830717,0.12745884419999237
looked,983,285,0.0004469799072755415,0.12738927357352933
Jesus,982,286,0.000446525197298659,0.12770620642741648
neither,978,287,0.0004447063573911288,0.12763072457125396
Oh,970,288,0.0004410686775760684,0.12702777914190772
herself,968,289,0.00044015925762230334,0.12720602545284568
mine,966,290,0.0004392498376685383,0.1273824529238761
together,958,291,0.0004356121578534779,0.12676313793536206
27,958,292,0.0004356121578534779,0.12719875009321555
sent,939,293,0.00042697266829270955,0.1251029918097639
whole,936,294,0.0004256085383620619,0.1251289102784462
woman,933,295,0.0004242444084314143,0.12515210048726721
bring,933,296,0.0004242444084314143,0.12557634489569863
seen,925,297,0.0004206067286163539,0.1249201983990571
No,921,298,0.00041878788870882376,0.12479879083522948
thereof,919,299,0.00041787846875505864,0.12494566215776254
whale,916,300,0.000416514338824411,0.1249543016473233
We,915,301,0.00041605962884752845,0.12523394828310605
speak,911,302,0.0004142407889399983,0.12510071825987948
stood,910,303,0.00041378607896311575,0.12537718192582406
till,908,304,0.0004128766590093507,0.12551450433884262
